2.539999999999999897e-02,0.000000000000000000e+00,1.517839511590415580e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.467224579527356132e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.416609647464296962e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.365994715401237514e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.315379783338178066e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.264764851275118618e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.214149919212059170e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.163534987148999861e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.112920055085940552e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.062305123022881104e-01
2.539999999999999897e-02,0.000000000000000000e+00,1.011690190959821656e-01
2.539999999999999897e-02,0.000000000000000000e+00,9.610752588967623466e-02
2.539999999999999897e-02,0.000000000000000000e+00,9.104603268337028987e-02
2.539999999999999897e-02,0.000000000000000000e+00,8.598453947706435896e-02
2.539999999999999897e-02,0.000000000000000000e+00,8.092304627075841417e-02
2.539999999999999897e-02,0.000000000000000000e+00,7.586155306445248325e-02
2.539999999999999897e-02,0.000000000000000000e+00,7.080005985814653846e-02
2.539999999999999897e-02,0.000000000000000000e+00,6.573856665184059367e-02
2.539999999999999897e-02,0.000000000000000000e+00,6.067707344553466275e-02
2.539999999999999897e-02,0.000000000000000000e+00,5.561558023922871796e-02
2.539673726331825171e-02,0.000000000000000000e+00,5.520847290942230978e-02
2.538694989149747200e-02,0.000000000000000000e+00,5.480147016890866973e-02
2.537064039899569398e-02,0.000000000000000000e+00,5.439467658011075402e-02
2.534781297585854062e-02,0.000000000000000000e+00,5.398819665171861182e-02
2.531847348664277922e-02,0.000000000000000000e+00,5.358213481184034843e-02
2.528262946890963425e-02,0.000000000000000000e+00,5.317659538117359974e-02
2.524029013128836069e-02,0.000000000000000000e+00,5.277168254620469290e-02
2.519146635111045238e-02,0.000000000000000000e+00,5.236750033244226554e-02
2.513617067161515867e-02,0.000000000000000000e+00,5.196415257769221308e-02
2.507441729872703085e-02,0.000000000000000000e+00,5.156174290538088900e-02
2.500622209740631027e-02,0.000000000000000000e+00,5.116037469793342785e-02
2.493160258757305681e-02,0.000000000000000000e+00,5.076015107021386585e-02
2.485057793960616934e-02,0.000000000000000000e+00,5.036117484303409553e-02
2.476316896941831852e-02,0.000000000000000000e+00,4.996354851673832920e-02
2.466939813310820018e-02,0.000000000000000000e+00,4.956737424486992727e-02
2.456928952119134812e-02,0.000000000000000000e+00,4.917275380792723860e-02
2.446286885241108489e-02,0.000000000000000000e+00,4.877978858721536415e-02
2.435016346713117855e-02,0.000000000000000000e+00,4.838857953880049134e-02
2.423120232031184332e-02,0.000000000000000000e+00,4.799922716757336338e-02
2.410601597407098159e-02,0.000000000000000000e+00,4.761183150142875298e-02
2.397463658983253407e-02,0.000000000000000000e+00,4.722649206556747692e-02
2.383709792006391548e-02,0.000000000000000000e+00,4.684330785692750188e-02
2.369343529960472525e-02,0.000000000000000000e+00,4.646237731875084431e-02
2.354368563658894992e-02,0.000000000000000000e+00,4.608379831529262061e-02
2.338788740296294036e-02,0.000000000000000000e+00,4.570766810667892255e-02
2.322608062460163741e-02,0.000000000000000000e+00,4.533408332391991591e-02
2.305830687102559604e-02,0.000000000000000000e+00,4.496313994408443482e-02
2.288460924472144470e-02,0.000000000000000000e+00,4.459493326564274718e-02
2.270503237006845504e-02,0.000000000000000000e+00,4.422955788398351407e-02
2.251962238187420196e-02,0.000000000000000000e+00,4.386710766711150733e-02
2.232842691352211403e-02,0.000000000000000000e+00,4.350767573153205281e-02
2.213149508473408883e-02,0.000000000000000000e+00,4.315135441832869401e-02
2.192887748895118796e-02,0.000000000000000000e+00,4.279823526943993262e-02
2.172062618033579126e-02,0.000000000000000000e+00,4.244840900414138113e-02
2.150679466039841573e-02,0.000000000000000000e+00,4.210196549573917701e-02
2.128743786425275203e-02,0.000000000000000000e+00,4.175899374848078549e-02
2.106261214650235331e-02,0.000000000000000000e+00,4.141958187468910285e-02
2.083237526676267812e-02,0.000000000000000000e+00,4.108381707212560574e-02
2.059678637482215482e-02,0.000000000000000000e+00,4.075178560158855545e-02
2.035590599544610108e-02,0.000000000000000000e+00,4.042357276475183614e-02
2.010979601282740156e-02,0.000000000000000000e+00,4.009926288225025559e-02
1.985851965468795471e-02,0.000000000000000000e+00,3.977893927201688051e-02
1.960214147603492330e-02,0.000000000000000000e+00,3.946268422787796437e-02
1.934072734257601470e-02,0.000000000000000000e+00,3.915057899841090094e-02
1.907434441379802711e-02,0.000000000000000000e+00,3.884270376607087960e-02
1.880306112571301230e-02,0.000000000000000000e+00,3.853913762659127995e-02
1.852694717327650620e-02,0.000000000000000000e+00,3.823995856866332921e-02
1.824607349248227872e-02,0.000000000000000000e+00,3.794524345390017095e-02
1.796051224213830733e-02,0.000000000000000000e+00,3.765506799709041064e-02
1.778049786799667034e-02,0.000000000000000000e+00,3.747505362294877712e-02
1.760048349385503336e-02,0.000000000000000000e+00,3.729503924880714361e-02
1.742046911971339984e-02,0.000000000000000000e+00,3.711502487466550315e-02
1.724045474557176286e-02,0.000000000000000000e+00,3.693501050052386964e-02
1.706044037143012587e-02,0.000000000000000000e+00,3.675499612638222918e-02
1.688042599728849236e-02,0.000000000000000000e+00,3.657498175224059567e-02
1.670041162314685190e-02,0.000000000000000000e+00,3.639496737809895521e-02
1.652039724900521839e-02,0.000000000000000000e+00,3.621495300395732170e-02
1.634038287486358140e-02,0.000000000000000000e+00,3.603493862981568818e-02
1.616036850072194442e-02,0.000000000000000000e+00,3.585492425567404773e-02
1.598035412658031090e-02,0.000000000000000000e+00,3.567490988153241421e-02
1.580033975243867392e-02,0.000000000000000000e+00,3.549489550739078070e-02
1.562032537829703693e-02,0.000000000000000000e+00,3.531488113324914024e-02
